(Thousands of Dollars),United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current charge,"208,904,262","4,704,941","700,785","2,880,476","2,454,868","23,164,164","3,861,835","2,038,995","1,200,655","8,234,288","3,680,186","1,799,125","771,231","5,233,549","3,617,636","3,502,827","3,452,928","3,684,666","1,950,249","823,298","3,665,456","5,337,294","8,688,398","2,636,013","2,296,501","3,045,528","490,259","1,174,744","775,386","923,320","6,547,341","1,628,297","9,800,144","5,816,649","825,463","9,075,474","2,834,877","4,643,863","11,410,663","798,457","4,960,870","438,008","2,234,205","15,102,385","4,008,310","601,037","9,732,266","5,260,464","1,677,667","4,516,598","201,623"
Miscellaneous general revenue,"140,393,918","1,142,182","3,032,500","2,485,648","1,006,804","10,176,227","2,193,726","1,566,969","1,008,676","6,996,509","2,572,764","1,257,802","451,962","4,441,533","2,012,379","1,366,714","1,119,617","1,171,308","2,488,550","463,220","2,309,758","5,685,596","4,212,837","2,066,735","697,691","2,571,867","447,374","675,723","545,637","822,345","4,882,578","2,416,255","16,421,934","3,183,466","523,407","5,438,525","2,348,205","2,394,247","4,692,612","847,850","2,115,830","589,776","2,125,262","11,808,994","1,115,810","295,258","4,245,829","2,731,591","1,193,637","3,200,257","831,942"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility revenue,"13,823,602",,"18,640","29,095",,"775,236",,"34,650","20,827","24,757","5,699",,,,,0,,0,"12,706","9,148","156,390","878,435",,"104,120",,,,,"48,742",,"1,118,942",0,"8,080,800",13,1,,"614,914",354,,"22,692","1,864,592",,,,0,,0,452,"2,397",0,
Liquor stores revenue,"8,088,520","325,393",,,,,,,,,,95,"155,416",,,"290,651",,,,"165,399",,,"1,021,890",,"337,971",,"93,996",,,"671,035",,,,,,"1,154,329",,"568,119","1,937,885",,,,,,"361,199","61,926","736,558",0,"92,744",,"113,914"
Insurance trust revenue,"205,401,045","4,558,211","424,441","3,620,320","1,093,131","38,649,179","3,870,264","1,932,718","99,947","5,289,555","3,574,516","498,176","1,095,800","6,644,936","2,427,987","2,350,967","1,149,315","1,719,149","2,719,002","502,083","2,720,991","4,731,745","8,920,561","2,930,421","1,588,885","4,188,834","757,585","751,818","2,855,466","675,964","3,617,336","2,065,332","13,140,300","4,106,377","624,899","9,710,852","1,327,380","4,086,800","9,116,366","748,524","2,168,331","286,501","2,443,515","21,424,075","1,362,297","304,878","5,493,767","7,145,157","966,040","2,210,690","709,661"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenditure,"2,224,959,623","29,747,318","12,359,938","41,770,243","22,881,728","327,898,210","34,282,697","31,918,825","9,377,257","87,924,052","47,487,009","12,191,854","9,244,971","77,826,111","39,222,656","23,381,086","18,664,921","35,147,233","31,246,084","9,330,098","43,759,423","63,569,367","70,110,424","46,594,683","22,108,192","32,409,714","7,083,841","10,941,892","15,229,381","7,610,619","72,064,882","20,029,869","194,242,569","53,398,099","8,153,778","86,698,954","24,746,427","33,938,757","96,292,444","8,566,489","31,606,505","5,071,455","32,336,553","145,581,592","19,284,874","6,728,461","52,932,360","52,909,566","14,371,196","38,230,825","6,454,141"
Intergovernmental expenditure,"532,698,646","6,672,049","2,038,078","10,904,370","5,882,840","103,512,395","7,310,747","5,438,230","1,511,805","20,407,866","11,835,632","134,933","2,277,298","18,109,138","9,711,681","5,470,729","4,799,630","4,780,430","5,766,006","1,288,779","9,398,276","9,080,507","20,818,310","13,143,647","5,251,972","6,172,736","1,094,338","2,417,506","4,429,481","460,600","11,672,318","4,986,006","61,639,619","12,858,738","2,111,716","18,552,156","4,458,922","5,551,653","20,050,597","1,236,874","6,393,932","775,059","7,617,702","31,763,445","3,511,958","1,771,590","12,466,977","11,874,183","2,385,313","9,032,363","1,867,516"
