,Revenue 2016,Debt 2016
0,2136635006.0,1160488556.0
1,30172490.0,8667105.0
2,8071732.0,5953933.0
3,38232376.0,14400191.0
4,21439227.0,4828756.0
5,322332341.0,151307658.0
6,31424888.0,16686588.0
7,28139072.0,37024731.0
8,8083659.0,5045161.0
9,85575636.0,33469117.0
10,45859766.0,13130551.0
11,13417567.0,9216583.0
12,9401987.0,3542856.0
13,75492133.0,65791900.0
14,38687720.0,22470543.0
15,23716008.0,5956424.0
16,17609012.0,9537833.0
17,29917598.0,14453423.0
18,26842105.0,17913229.0
19,8987038.0,4845408.0
20,42037052.0,27871287.0
21,60311575.0,76861071.0
22,71188554.0,33744508.0
23,44247753.0,16213046.0
24,20880788.0,7283371.0
25,33039255.0,19103212.0
26,6862804.0,3052423.0
27,10881575.0,1950506.0
28,16808682.0,3222367.0
29,8343685.0,7869122.0
30,65689159.0,66721791.0
31,18602071.0,6951535.0
32,185619993.0,137479990.0
33,55216832.0,16919235.0
34,7324343.0,2355700.0
35,78331623.0,33164507.0
36,22862875.0,8702914.0
37,32763887.0,13355878.0
38,90792145.0,47099314.0
39,8201456.0,9052017.0
40,28937828.0,16228097.0
41,4537220.0,3366459.0
42,31427933.0,6075745.0
43,144218813.0,49357183.0
44,18164518.0,7013698.0
45,6488122.0,2492083.0
46,51655912.0,28628254.0
47,51122740.0,33059765.0
48,13906210.0,7223531.0
49,36853220.0,23052389.0
50,5914028.0,775568.0
