(Thousands of Dollars),Total revenue,,General revenue,Intergovernmental revenue,Taxes,General sales,Selective sales,License taxes,Individual income tax,Corporate income tax,Other taxes,,Current charge,Miscellaneous general revenue,,Utility revenue,Liquor stores revenue,Insurance trust revenue,,Total expenditure,Intergovernmental expenditure,Direct expenditure,Current operation,Capital outlay,Insurance benefits and repayments,Assistance and subsidies,Interest on debt,Exhibit: Salaries and wages,,Total expenditure,General expenditure,Intergovernmental expenditure,Direct expenditure,,"General expenditure, by function:",Education,Public welfare,Hospitals,Health,Highways,,Police protection,Correction,Natural resources,Parks and recreation,Governmental administration,,Interest on general debt,Other and unallocable,,Utility expenditure,Liquor stores expenditure,Insurance trust expenditure,,Debt at end of fiscal year,,Cash and security holdings
United States,2202562898,,1853525233,604627518,911719684,286383078,144955035,52032020,336172978,48685262,43491311,,198582594,138595437,,14714935,7732037,326590693,,2192190147,515048287,1677141860,1144425741,123940092,316274402,45175756,47325869,258821325,,2192190147,1840904911,515048287,1325856624,,,637315755,612553893,73917089,62744640,120136356,,16108379,51728480,22483840,6168254,55695773,,44835071,137217381,,28826605,6184229,316274402,,1150140105,,4746496155
Alabama,26896290,,24624640,8838667,9755439,2463912,2472137,493883,3336587,533586,455334,,4600676,1429858,,,308180,1963470,,29377161,6612535,22764626,15965471,2082490,3651229,699293,366143,4638774,,29377161,25436524,6612535,18823989,,,10786908,6872757,2353941,526982,1810319,,185170,562859,281706,19647,608951,,366143,1061141,,,289408,3651229,,9125828,,44861358
Alaska,8419335,,7693036,2642995,1394310,0,255971,146846,0,227852,763641,,655667,3000064,,16828,,709471,,13039607,2036112,11003495,7747540,1510811,1294550,196622,253972,1736537,,13039607,11580917,2036112,9544805,,,2703274,2113211,68984,299156,1271514,,161965,340726,375310,23949,752588,,250304,3219936,,164140,,1294550,,5727891,,81306779
Arizona,35346766,,31212866,12752207,14082100,6466167,1780226,458737,3760883,690960,925127,,2650381,1728178,,27589,,4106311,,35687282,7832147,27855135,19524316,1548308,4485569,1893638,403304,3946104,,35687282,31172675,7832147,23340528,,,10458097,10440648,61510,2439944,1957688,,248909,1115679,279188,63044,751641,,401481,2954846,,29038,,4485569,,14243659,,58944872
Arkansas,21665918,,19379762,7002577,9190212,3182211,1228129,384306,2664153,476553,1254860,,2204297,982676,,,,2286156,,21352833,5214039,16138794,12462381,1180020,1882832,478053,135508,2962086,,21352833,19470001,5214039,14255962,,,7638610,6642465,953576,288644,1443062,,118080,404172,246045,63732,604315,,135508,931792,,,,1882832,,4985140,,33603128
California,332456557,,265498842,82907118,151234165,38464704,13947655,9420863,77929551,9007182,2464210,,21373082,9984477,,1002780,,65954935,,330210756,97968328,232242428,151981870,10183475,57750839,4930538,7395706,32158111,,330210756,269774501,97968328,171806173,,,90276519,109031702,10633226,8648877,10529860,,1790672,9667904,3809737,529286,7485654,,7168706,10202358,,2685416,,57750839,,151715007,,845232818
Colorado,32734001,,26466753,7850787,12797117,2817773,1976239,680739,6360629,669054,292683,,3615272,2203577,,,,6267248,,32517822,7151882,25365940,16624679,1809398,5670780,436292,824791,4998241,,32517822,26830572,7151882,19678690,,,10824522,7910755,818623,584872,1729963,,236328,1052356,312904,99692,884181,,811089,1565287,,16470,,5670780,,16843571,,76635055
Connecticut,30307639,,26635794,6898669,16224696,4082787,2472098,452687,8182071,689685,345368,,1979341,1533088,,35331,,3636514,,31336819,5338357,25998462,17169216,1995795,4856293,557724,1419434,4542809,,31336819,25756576,5338357,20418219,,,7874421,7677002,1416472,1013692,1247190,,242755,708469,204320,114852,1396479,,1419434,2441490,,723950,,4856293,,35351526,,49792991
Delaware,8268967,,7573457,1974674,3513916,0,498557,1389894,1140248,400746,84471,,1135184,949683,,21273,,674237,,9036319,1454859,7581460,5725555,629365,714038,316185,196317,1407329,,9036319,8199548,1454859,6744689,,,3025239,2323157,44119,445263,513072,,133120,302261,90199,46003,482463,,196317,598335,,122733,,714038,,4964915,,13122886
Florida,91563525,,79487553,26270941,37217759,21800895,8535420,2138834,0,2237500,2505110,,8972049,7026804,,23874,,12052098,,87374452,19173628,68200824,49033935,6500958,9524697,2034784,1106450,9016330,,87374452,77651861,19173628,58478233,,,25347156,25913158,949782,3706839,7600460,,536250,2269252,1222775,154533,2439153,,1106450,6406053,,197894,,9524697,,33362901,,218155657
